settlement_utr,transaction_description,net_amount,settlement_date
SETL202608089158,TIER1-NEFT-pay_9a9e025691814b-Wayne Enterprises,24441.4,2026-08-10
SETL202608191180,TIER1-NEFT-pay_fe81ac703e204a-Acme Corp,13969.39,2026-08-21
SETL202608176987,TIER5-ORPHAN-UNKNOWN-CORP-4307,6694.75,2026-08-19
SETL202608066145,TIER5-ORPHAN-UNKNOWN-CORP-7705,10651.87,2026-08-08
SETL202608028342,TIER1-NEFT-pay_aef2aa876a8b49-Stark Industries,41619.13,2026-08-04
SETL202608046761,TIER5-ORPHAN-UNKNOWN-CORP-4325,38107.28,2026-08-06
SETL202608164225,TIER1-NEFT-pay_ece5130d5abf42-Wayne Enterprises,14643.77,2026-08-18
SETL202608054223,TIER1-NEFT-pay_45596ca01d1b43-Wayne Enterprises,1600.99,2026-08-07
IMPS646516932183,TIER3-IMPS-Individual Sneha-TRF,30698.59,2026-08-22
SETL202608062791,TIER5-ORPHAN-UNKNOWN-CORP-9310,38730.56,2026-08-08
SETL202608204587,TIER5-ORPHAN-UNKNOWN-CORP-7348,34772.66,2026-08-22
SETL202608149269,TIER1-NEFT-pay_54bc243c54fc4a-Acme Corp,21896.57,2026-08-16
SETL202608034254,TIER1-NEFT-pay_130d7697831345-Wayne Enterprises,10452.76,2026-08-05
SETL202608129099,TIER1-NEFT-pay_ffeef44a61dd4c-Stark Industries,15895.42,2026-08-14
IMPS747067706127,TIER3-IMPS-Individual Rahul-TRF,22249.82,2026-08-09
IMPS787542893187,TIER3-IMPS-Individual Amit-TRF,8582.22,2026-08-16
IMPS272421117043,TIER3-IMPS-Individual Rahul-TRF,27575.66,2026-08-21
SETL202608058913,TIER1-NEFT-pay_544a1f63249b45-Razorpay Software,3077.42,2026-08-07
SETL202608141662,TIER1-NEFT-pay_9d05e808074b4e-Stark Industries,10585.51,2026-08-16
SETL202608076358,TIER4-BULK-Acme Corp-SETTLEMENT,90763.2,2026-08-09
SETL202608177874,TIER2-RTGS-Globxx-REF620,44814.68,2026-08-18
SETL202608033259,TIER1-NEFT-pay_9164631b09084c-Globex,34063.28,2026-08-05
SETL202608117205,TIER2-RTGS-Razorpay Softwaxx-REF270,32845.32,2026-08-12
SETL202608089499,TIER1-NEFT-pay_47e695b24e3249-Umbrella Inc,36114.7,2026-08-10
SETL202608201005,TIER2-RTGS-Razorpay Softwaxx-REF231,29385.61,2026-08-21
SETL202608145887,TIER2-RTGS-Acme Coxx-REF517,18560.57,2026-08-15
SETL202608209649,TIER1-NEFT-pay_37b51109bb2142-Umbrella Inc,-378.79,2026-08-22
SETL202608093854,TIER4-BULK-Stark Industries-SETTLEMENT,61348.13,2026-08-11
SETL202608098218,TIER1-NEFT-pay_916d0d1a552343-Umbrella Inc,16157.39,2026-08-11
IMPS617353423410,TIER3-IMPS-Individual Priya-TRF,39821.35,2026-08-08
SETL202608176033,TIER1-NEFT-pay_956988cab3a145-Stark Industries,39841.8,2026-08-19
SETL202608019162,TIER1-NEFT-pay_3681f7f1c4124d-Acme Corp,33189.48,2026-08-03
SETL202608139916,TIER2-RTGS-Globxx-REF816,-246.55,2026-08-14
SETL202608115151,TIER5-ORPHAN-UNKNOWN-CORP-5109,44425.25,2026-08-13
SETL202608194920,TIER1-NEFT-pay_8ba918e0d0c443-Umbrella Inc,16423.03,2026-08-21
SETL202608015054,TIER1-NEFT-pay_561933fa8dc645-Razorpay Software,44247.27,2026-08-03
SETL202608204343,TIER2-RTGS-Wayne Enterprisxx-REF672,28276.21,2026-08-21
SETL202608094337,TIER2-RTGS-Globxx-REF709,-393.12,2026-08-10
SETL202608017029,TIER2-RTGS-Globxx-REF290,25520.48,2026-08-02
SETL202608181749,TIER5-ORPHAN-UNKNOWN-CORP-1920,3078.89,2026-08-20
SETL202608178656,TIER1-NEFT-pay_bfe7ab37c8b841-Globex,48095.57,2026-08-19
SETL202608093261,TIER1-NEFT-pay_bb554672720343-Umbrella Inc,28620.64,2026-08-11
SETL202608166325,TIER2-RTGS-Wayne Enterprisxx-REF517,42464.81,2026-08-17
SETL202608156049,TIER5-ORPHAN-UNKNOWN-CORP-7625,48178.25,2026-08-17
SETL202608047476,TIER2-RTGS-Stark Industrixx-REF254,36612.69,2026-08-05
