order_id,payment_id,customer_name,gross_amount,mdr_fee,gst_on_mdr,refund_amount,payment_date,status
order_TXI8E5QcjhVrj3,pay_5c04a95c0b8d49,Stark Industries,31164.74,623.29,112.19,0.0,2026-08-11,captured
order_TXI8EkgJI7KtcC,pay_916d0d1a552343,Umbrella Inc,16547.92,330.96,59.57,0.0,2026-08-09,captured
order_TXI8FPHXbR32FT,pay_4d4654f7ee6b41,Wayne Enterprises,23162.24,463.24,83.38,0.0,2026-08-08,captured
order_TXI8G3UJ9gQFWX,pay_794f215dfed64c,Stark Industries,5923.62,118.47,21.32,0.0,2026-08-11,captured
order_TXI8GlfkAwzuQx,pay_3681f7f1c4124d,Acme Corp,33991.68,679.83,122.37,0.0,2026-08-01,captured
order_TXI8HNrsfQ7Nyx,pay_da7298e951bf42,Stark Industries,37497.63,749.95,134.99,0.0,2026-08-04,captured
order_TXI8HzdPL73liC,pay_d60102b29c7940,Razorpay Software,33639.2,672.78,121.1,0.0,2026-08-11,captured
order_TXI8Ic1hq2EUu1,pay_fe81ac703e204a,Acme Corp,14819.12,296.38,53.35,0.0,2026-08-19,captured
order_TXI8JE8ZI40y1N,pay_87a9176666e847,Wayne Enterprises,43491.2,869.82,156.57,0.0,2026-08-16,captured
order_TXI8JrgOIgqIq4,pay_548016f1c2e742,Wayne Enterprises,28959.65,579.19,104.25,0.0,2026-08-20,captured
order_TXI8KVE8WlIObA,pay_3fa262206b1842,Wayne Enterprises,41648.47,0.0,0.0,0.0,2026-08-19,failed
order_TXI8LAwHyfWPRS,pay_956988cab3a145,Stark Industries,41316.88,826.34,148.74,0.0,2026-08-17,captured
order_TXI8LoDHelkrlX,pay_8ba918e0d0c443,Umbrella Inc,34473.19,689.46,124.1,17236.6,2026-08-19,refunded
order_TXI8MTUxFwVO1g,pay_429359ee95284b,Acme Corp,19009.18,380.18,68.43,0.0,2026-08-14,captured
order_TXI8N5xjT4voel,pay_634f89783b894d,Umbrella Inc,27982.0,0.0,0.0,0.0,2026-08-18,failed
order_TXI8NhomPWsqfh,pay_933bfec11d2948,Wayne Enterprises,10043.73,200.87,36.16,0.0,2026-08-15,captured
order_TXI8OK1GXK1FGn,pay_4d0925a3c7d746,Globex,16657.45,333.15,59.97,16657.45,2026-08-09,refunded
order_TXI8OwPutjWbvZ,pay_232f7f1b4cf24b,Acme Corp,23303.29,466.07,83.89,0.0,2026-08-08,captured
